"customer_id","first_name","last_name","email","city","state"
"C01991","Sonia","Matthews","craigbarajas@williamson.com","Sylviafort","MS"
"C01992","Andrew","Turner","pcross@hotmail.com","New Anthonybury","MT"
"C01993","Daniel","Flynn","careyjohn@ortiz.com","Port Larrymouth","TN"
"C01994","Nicole","Griffin","barkertaylor@hampton.info","North Ericshire","NJ"
"C01995","Vincent","Long","millerjodi@hotmail.com","Wolffort","FL"
"C01996","David","Warren","alan72@salas.com","Villarrealtown","WV"
"C01997","Amber","Lawson","raydana@sanders.com","New Gabriel","NM"
"C01998","Ivan","Jenkins","beckyjones@hotmail.com","Davidland","NH"
"C01999","Kathleen","Hodges","brandondiaz@mcdowell.biz","Stephaniechester","TX"
"C02000","Julie","Smith","mcdowellkatie@yahoo.com","West Dianechester","DE"
